https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAI
1602028800000,2020-10-07 00:00:00,DAI/USD,1.0121,1.0138,1.0081,1.011,42690.83299918092,42226.34322372
1601942400000,2020-10-06 00:00:00,DAI/USD,1.0137,1.014,1.009,1.012,31707.8416062364,31331.8592947
1601856000000,2020-10-05 00:00:00,DAI/USD,1.0129,1.014,1.0097,1.0137,71654.93007782724,70686.52468958
1601769600000,2020-10-04 00:00:00,DAI/USD,1.0102,1.0143,1.0098,1.0117,30166.233615560453,29817.37038209
1601683200000,2020-10-03 00:00:00,DAI/USD,1.0121,1.0149,1.01,1.0102,78594.7968660596,77801.22437741
1601596800000,2020-10-02 00:00:00,DAI/USD,1.013,1.015,1.0098,1.0121,58052.40408230164,57358.36783154
1601510400000,2020-10-01 00:00:00,DAI/USD,1.0126,1.0136,1.0081,1.0129,79493.82162544414,78481.41141815
1601424000000,2020-09-30 00:00:00,DAI/USD,1.014,1.0164,1.0106,1.0107,148747.2376146129,147172.49195074
1601337600000,2020-09-29 00:00:00,DAI/USD,1.0157,1.0168,1.0126,1.0141,92660.75557453882,91372.40466871
1601251200000,2020-09-28 00:00:00,DAI/USD,1.0137,1.0158,1.0105,1.0157,77136.26249403607,75943.94259529
1601164800000,2020-09-27 00:00:00,DAI/USD,1.0118,1.0155,1.0101,1.0136,33496.83568163089,33047.39116183
1601078400000,2020-09-26 00:00:00,DAI/USD,1.0109,1.0146,1.003,1.01,1036602.3445946118,1026338.95504417
1600992000000,2020-09-25 00:00:00,DAI/USD,1.0117,1.0155,1.0109,1.0129,77568.50184869279,76580.61195448
1600905600000,2020-09-24 00:00:00,DAI/USD,1.0147,1.0168,1.011,1.0147,94251.98093515473,92886.54866971
1600819200000,2020-09-23 00:00:00,DAI/USD,1.0127,1.0171,1.0114,1.0147,60063.533497547316,59193.39065492
1600732800000,2020-09-22 00:00:00,DAI/USD,1.0112,1.0161,1.0112,1.0144,62432.92286115149,61546.65108552
1600646400000,2020-09-21 00:00:00,DAI/USD,1.0135,1.0166,1.011,1.0116,35338.61851302453,34933.39117539
