https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume NEO
1603843200000,2020-10-28 00:00:00,NEO/USD,16.958,17.123,15.683,15.867,746888.3503550356,47071.80628695
1603756800000,2020-10-27 00:00:00,NEO/USD,17.064,17.451,16.847,16.998,310455.71453302976,18264.24959013
1603670400000,2020-10-26 00:00:00,NEO/USD,17.888,18.129,16.612,17.076,427554.9921816264,25038.3574714
1603584000000,2020-10-25 00:00:00,NEO/USD,18.324,18.494,17.667,17.886,423827.6275244147,23696.05431759
1603497600000,2020-10-24 00:00:00,NEO/USD,18.137,18.489,17.994,18.306,279132.01735446916,15248.11632003
1603411200000,2020-10-23 00:00:00,NEO/USD,18.674,18.675,17.814,18.122,511100.3525091709,28203.30827222
1603324800000,2020-10-22 00:00:00,NEO/USD,18.36,19.215,18.278,18.689,645827.5006139216,34556.55736604
1603238400000,2020-10-21 00:00:00,NEO/USD,16.965,18.822,16.886,18.361,1312915.7974922496,71505.68038191
1603152000000,2020-10-20 00:00:00,NEO/USD,17.604,18.03,16.87,16.964,548144.5853093412,32312.22502413
1603065600000,2020-10-19 00:00:00,NEO/USD,17.44,17.667,17.086,17.619,238290.79186865882,13524.64906457
1602979200000,2020-10-18 00:00:00,NEO/USD,17.194,17.754,17.181,17.436,243605.70023116007,13971.42121078
1602892800000,2020-10-17 00:00:00,NEO/USD,17.041,17.308,16.949,17.185,82523.07522857824,4802.04103745
1602806400000,2020-10-16 00:00:00,NEO/USD,17.235,17.323,16.77,17.02,161417.3956824318,9483.98329509
1602720000000,2020-10-15 00:00:00,NEO/USD,16.99,17.36,16.89,17.211,193330.17885574364,11232.94281888
1602633600000,2020-10-14 00:00:00,NEO/USD,17.618,17.797,16.867,16.99,295235.76199767593,17377.0313124
1602547200000,2020-10-13 00:00:00,NEO/USD,18.036,18.128,17.413,17.596,340433.3146252719,19347.19905804
1602460800000,2020-10-12 00:00:00,NEO/USD,17.8,18.532,17.442,18.038,1283371.3595770847,71148.20709486
1602374400000,2020-10-11 00:00:00,NEO/USD,17.563,18.022,17.374,17.786,558876.5791081316,31422.27477275
1602288000000,2020-10-10 00:00:00,NEO/USD,17.429,18.333,17.426,17.562,931577.9843250348,53045.09647677
1602201600000,2020-10-09 00:00:00,NEO/USD,17.084,17.664,16.858,17.426,299996.06304565107,17215.42884458
1602115200000,2020-10-08 00:00:00,NEO/USD,16.822,17.284,16.136,17.059,785285.5975811997,46033.50709779
1602028800000,2020-10-07 00:00:00,NEO/USD,16.589,16.999,16.025,16.821,426726.0461534856,25368.64907874
1601942400000,2020-10-06 00:00:00,NEO/USD,17.71,17.79926306,16.432,16.556,967732.0577751192,58452.04504561
1601856000000,2020-10-05 00:00:00,NEO/USD,18.138,18.259,17.536,17.707,404886.0585464092,22865.87556031
