https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USD
1479600000,2016-11-20 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1479513600,2016-11-19 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1479427200,2016-11-18 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1479340800,2016-11-17 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1479254400,2016-11-16 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1479168000,2016-11-15 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1479081600,2016-11-14 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1478995200,2016-11-13 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1478908800,2016-11-12 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1478822400,2016-11-11 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1478736000,2016-11-10 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1478649600,2016-11-09 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1478563200,2016-11-08 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1478476800,2016-11-07 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1478390400,2016-11-06 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1478304000,2016-11-05 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1478217600,2016-11-04 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1478131200,2016-11-03 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1478044800,2016-11-02 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1477958400,2016-11-01 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1477872000,2016-10-31 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1477785600,2016-10-30 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1477699200,2016-10-29 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1477612800,2016-10-28 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1477526400,2016-10-27 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1477440000,2016-10-26 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1477353600,2016-10-25 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1477267200,2016-10-24 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1477180800,2016-10-23 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1477094400,2016-10-22 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1477008000,2016-10-21 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1476921600,2016-10-20 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1476835200,2016-10-19 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1476748800,2016-10-18 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1476662400,2016-10-17 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1476576000,2016-10-16 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1476489600,2016-10-15 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1476403200,2016-10-14 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1476316800,2016-10-13 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1476230400,2016-10-12 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1476144000,2016-10-11 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1476057600,2016-10-10 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1475971200,2016-10-09 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1475884800,2016-10-08 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1475798400,2016-10-07 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1475712000,2016-10-06 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1475625600,2016-10-05 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
