https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume QTUM
1569801600,2019-09-30 00:00:00,QTUM/USD,1.625,1.73,1.583,1.699,15868.17,9409.8
1569715200,2019-09-29 00:00:00,QTUM/USD,1.663,1.663,1.57,1.625,2530.48,1576.47
1569628800,2019-09-28 00:00:00,QTUM/USD,1.632,1.687,1.626,1.663,8368.06,5047.54
1569542400,2019-09-27 00:00:00,QTUM/USD,1.609,1.648,1.566,1.632,3054.32,1904.24
1569456000,2019-09-26 00:00:00,QTUM/USD,1.639,1.682,1.5,1.609,14424.65,8895.55
1569369600,2019-09-25 00:00:00,QTUM/USD,1.559,1.746,1.544,1.639,21316.08,13180.1
1569283200,2019-09-24 00:00:00,QTUM/USD,1.971,1.988,1.486,1.559,38220.29,22684.92
1569196800,2019-09-23 00:00:00,QTUM/USD,2.107,2.107,1.968,1.971,9249.82,4543.67
1569110400,2019-09-22 00:00:00,QTUM/USD,2.149,2.158,2.064,2.107,2698.55,1281.89
1569024000,2019-09-21 00:00:00,QTUM/USD,2.194,2.194,2.149,2.149,650.29,299.6
1568937600,2019-09-20 00:00:00,QTUM/USD,2.22,2.225,2.164,2.194,3914.49,1790.56
1568851200,2019-09-19 00:00:00,QTUM/USD,2.29,2.29,2.087,2.22,18221.49,8488.78
1568764800,2019-09-18 00:00:00,QTUM/USD,2.116,2.35,2.116,2.29,18823.01,8425.8
1568678400,2019-09-17 00:00:00,QTUM/USD,2.046,2.173,2.029,2.116,4447.41,2117.53
1568592000,2019-09-16 00:00:00,QTUM/USD,2.074,2.103,1.999,2.046,4267.58,2092.98
1568505600,2019-09-15 00:00:00,QTUM/USD,2.082,2.098,2.048,2.074,4332.9,2106.57
1568419200,2019-09-14 00:00:00,QTUM/USD,2.02,2.082,2.005,2.082,1316.53,648.65
1568332800,2019-09-13 00:00:00,QTUM/USD,2.004,2.042,2.0,2.02,1316.65,653.52
1568246400,2019-09-12 00:00:00,QTUM/USD,2.0,2.012,1.968,2.004,878.34,438.2
1568160000,2019-09-11 00:00:00,QTUM/USD,2.025,2.05,1.97,2.0,8663.21,4330.15
1568073600,2019-09-10 00:00:00,QTUM/USD,2.085,2.119,2.013,2.025,4095.35,1968.17
1567987200,2019-09-09 00:00:00,QTUM/USD,2.125,2.14,2.004,2.085,7475.5,3618.64
1567900800,2019-09-08 00:00:00,QTUM/USD,2.036,2.144,2.029,2.125,7680.65,3668.16
1567814400,2019-09-07 00:00:00,QTUM/USD,1.971,2.043,1.89,2.036,12242.77,6165.57
1567728000,2019-09-06 00:00:00,QTUM/USD,2.005,2.073,1.944,1.971,7090.48,3527.58
1567641600,2019-09-05 00:00:00,QTUM/USD,2.098,2.098,1.999,2.005,7520.84,3704.3
1567555200,2019-09-04 00:00:00,QTUM/USD,2.153,2.153,2.085,2.098,7101.01,3376.54
1567468800,2019-09-03 00:00:00,QTUM/USD,2.147,2.194,2.122,2.153,3740.87,1729.25
1567382400,2019-09-02 00:00:00,QTUM/USD,2.104,2.161,2.06,2.147,12098.94,5746.69
1567296000,2019-09-01 00:00:00,QTUM/USD,2.133,2.133,2.074,2.104,2020.36,963.04
1567209600,2019-08-31 00:00:00,QTUM/USD,2.129,2.151,2.07,2.133,1855.73,891.93
1567123200,2019-08-30 00:00:00,QTUM/USD,2.123,2.174,2.08,2.129,16657.74,7842.62
1567036800,2019-08-29 00:00:00,QTUM/USD,2.223,2.223,2.04,2.123,40759.13,19353.64
1566950400,2019-08-28 00:00:00,QTUM/USD,2.463,2.463,2.171,2.223,19888.8,8794.27
1566864000,2019-08-27 00:00:00,QTUM/USD,2.533,2.534,2.441,2.463,33937.28,13689.73
1566777600,2019-08-26 00:00:00,QTUM/USD,2.531,2.612,2.521,2.533,6695.77,2606.24
