https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAT
1601683200000,2020-10-03 00:00:00,BAT/USD,0.22486,0.22486,0.22172,0.222,3843.79121107896,17314.37482468
1601596800000,2020-10-02 00:00:00,BAT/USD,0.22875,0.23167,0.2142,0.2226,26455.41983522701,118847.34876562
1601510400000,2020-10-01 00:00:00,BAT/USD,0.24016,0.24702,0.22382,0.22856,11797.910592482698,51618.4397641
1601424000000,2020-09-30 00:00:00,BAT/USD,0.23694,0.24249,0.23433,0.239,8268.920858696129,34597.99522467
1601337600000,2020-09-29 00:00:00,BAT/USD,0.23526,0.23664,0.23054,0.23664,3383.1497981026323,14296.610032550001
1601251200000,2020-09-28 00:00:00,BAT/USD,0.23169,0.24195,0.23003,0.23283,5622.825209289444,24149.9171468
1601164800000,2020-09-27 00:00:00,BAT/USD,0.23505,0.23515,0.22782,0.22996,1616.5665234898484,7029.77267129
1601078400000,2020-09-26 00:00:00,BAT/USD,0.23494,0.23669,0.23075,0.23108,4122.72950861336,17841.135142
1600992000000,2020-09-25 00:00:00,BAT/USD,0.22545,0.235,0.2212,0.23292,11348.86937732946,48724.3232755
1600905600000,2020-09-24 00:00:00,BAT/USD,0.21822,0.22732,0.21792,0.22645,10451.051658971606,46151.69644059
1600819200000,2020-09-23 00:00:00,BAT/USD,0.23,0.23175,0.21299,0.21299,7829.787406649734,36761.29117165
1600732800000,2020-09-22 00:00:00,BAT/USD,0.21262,0.22897,0.21251,0.22734,11859.16421487845,52164.88174047
1600646400000,2020-09-21 00:00:00,BAT/USD,0.23932,0.24333,0.20894,0.21597,25652.404907352135,118777.63072349
1600560000000,2020-09-20 00:00:00,BAT/USD,0.24245,0.24245,0.23074,0.2378,2336.3677276086423,9824.92736589
1600473600000,2020-09-19 00:00:00,BAT/USD,0.24349,0.2466,0.24183,0.24355,4597.204580366195,18875.81433121
1600387200000,2020-09-18 00:00:00,BAT/USD,0.25477,0.25569,0.24001,0.24382,2272.636910450131,9320.96181794
1600300800000,2020-09-17 00:00:00,BAT/USD,0.25663,0.25792,0.24788,0.25054,2995.334050058587,11955.51229368
1600214400000,2020-09-16 00:00:00,BAT/USD,0.23989,0.25594,0.239,0.25528,5749.896428952574,22523.88134187
1600128000000,2020-09-15 00:00:00,BAT/USD,0.255,0.25877,0.24333,0.24473,5070.331325374135,20718.0620495
1600041600000,2020-09-14 00:00:00,BAT/USD,0.25693,0.27688,0.25084,0.25484,27030.772826159588,106069.58415539
1599955200000,2020-09-13 00:00:00,BAT/USD,0.26916,0.27092,0.25,0.25732,29448.067824848997,114441.42633627
1599868800000,2020-09-12 00:00:00,BAT/USD,0.26522,0.27791,0.26306,0.27365,24809.073971081478,90659.87199372
1599782400000,2020-09-11 00:00:00,BAT/USD,0.26385,0.26385,0.25723,0.2616,8946.148364155704,34197.81484769
1599696000000,2020-09-10 00:00:00,BAT/USD,0.25987,0.27774,0.25551,0.26403,42884.00933076656,162420.97235453
1599609600000,2020-09-09 00:00:00,BAT/USD,0.2488,0.26427,0.24333,0.25903,20072.426008367904,77490.7385568
1599523200000,2020-09-08 00:00:00,BAT/USD,0.25374,0.26435,0.24667,0.25282,14520.571655553009,57434.42629362
1599436800000,2020-09-07 00:00:00,BAT/USD,0.26174,0.26828,0.23853,0.25249,10919.730770266975,43248.17129497
1599350400000,2020-09-06 00:00:00,BAT/USD,0.2379,0.2601,0.22829,0.25881,14278.789735835464,55170.93518734
1599264000000,2020-09-05 00:00:00,BAT/USD,0.26591,0.26829,0.226,0.23529,31329.63647550799,133153.2852034
1599177600000,2020-09-04 00:00:00,BAT/USD,0.25351,0.29622,0.25017,0.26791,38796.9184052072,144813.252231
1599091200000,2020-09-03 00:00:00,BAT/USD,0.31947,0.32000000000000006,0.23824999999999996,0.25344999999999995,49774.58274715633,208917.45119478
1599004800000,2020-09-02 00:00:00,BAT/USD,0.336,0.33605,0.301,0.31839,63401.70256730064,210636.88560565
1598918400000,2020-09-01 00:00:00,BAT/USD,0.34481,0.35208999999999996,0.333,0.33629000000000003,38336.99011398387,115126.09643839
1598832000000,2020-08-31 00:00:00,BAT/USD,0.34744,0.362,0.33204,0.34853,52215.44737458214,157256.4973334
1598745600000,2020-08-30 00:00:00,BAT/USD,0.354,0.37010999999999994,0.34473,0.34624,47825.924162702395,138734.4419189
