https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EOS
1604361600000,2020-11-03 00:00:00,EOS/USD,2.4339,2.4433,2.2225,2.3682,4511342.979762423,1904967.05504705
1604275200000,2020-11-02 00:00:00,EOS/USD,2.52,2.5526,2.4067,2.4345,1841920.04945548,756590.69601786
1604188800000,2020-11-01 00:00:00,EOS/USD,2.527,2.5403,2.46,2.5174,930242.7315690824,369525.19725474
1604102400000,2020-10-31 00:00:00,EOS/USD,2.5106,2.5651,2.5006,2.52572602,2564530.1362794517,1015363.54932094
1604016000000,2020-10-30 00:00:00,EOS/USD,2.6383,2.646,2.3948,2.5094,5089224.637917926,2028064.33327406
1603929600000,2020-10-29 00:00:00,EOS/USD,2.6524,2.6777,2.6024,2.6358,1112808.2974963814,422189.96035222
1603843200000,2020-10-28 00:00:00,EOS/USD,2.6713,2.7561,2.62067752,2.6536,2318122.7357536876,873576.55100757
1603756800000,2020-10-27 00:00:00,EOS/USD,2.6306,2.699,2.6284,2.6715,1146811.5305459388,429276.26073215
1603670400000,2020-10-26 00:00:00,EOS/USD,2.7111,2.75,2.5947,2.6329,1756561.1430025622,667158.3208639
1603584000000,2020-10-25 00:00:00,EOS/USD,2.6618,2.74,2.6229,2.7084,1334466.992287684,492714.14572725
1603497600000,2020-10-24 00:00:00,EOS/USD,2.64117018,2.6715,2.6161,2.6628,513733.2406138239,192929.71331448999
1603411200000,2020-10-23 00:00:00,EOS/USD,2.669,2.6851,2.6012,2.6411,1006250.4099395983,380996.70968142
1603324800000,2020-10-22 00:00:00,EOS/USD,2.613,2.7085,2.6097,2.67041129,1867944.7002244534,699497.00528133
1603238400000,2020-10-21 00:00:00,EOS/USD,2.5284,2.6597,2.5265,2.6142,3193091.9124216246,1221441.32523205
1603152000000,2020-10-20 00:00:00,EOS/USD,2.5798,2.5862,2.505,2.5287,650431.2939142731,257219.63614279
1603065600000,2020-10-19 00:00:00,EOS/USD,2.5489,2.6133,2.5272,2.5847,983731.5116787594,380597.94625247
1602979200000,2020-10-18 00:00:00,EOS/USD,2.5239,2.55949167,2.5225,2.548,326215.44117327983,128028.03813708
1602892800000,2020-10-17 00:00:00,EOS/USD,2.5408,2.552,2.509,2.5259,452581.9692432868,179176.51896088
1602806400000,2020-10-16 00:00:00,EOS/USD,2.5957,2.6127,2.4935,2.5387,2488949.680335702,980403.23013184
1602720000000,2020-10-15 00:00:00,EOS/USD,2.6114,2.6319,2.58677662,2.5979,1829942.660601434,704393.03306572
1602633600000,2020-10-14 00:00:00,EOS/USD,2.643,2.65504188,2.5771,2.614,955027.0052685479,365350.805382
1602547200000,2020-10-13 00:00:00,EOS/USD,2.6509,2.6671,2.61616322,2.6421,699466.3171798032,264738.77490625
