https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMG
1604793600000,2020-11-08 00:00:00,OMG/USD,3.0633,3.3219,3.0139,3.1858,795497.1579866724,249700.90965744
1604707200000,2020-11-07 00:00:00,OMG/USD,3.3224,3.4955,2.9499,3.0691,2261633.3124686256,736904.40600457
1604620800000,2020-11-06 00:00:00,OMG/USD,2.8883,3.3747,2.8883,3.3192,1486401.1951121243,447819.11156668
1604534400000,2020-11-05 00:00:00,OMG/USD,2.7678,2.9726,2.6741,2.9058,1161642.2496119314,399766.75945073
1604448000000,2020-11-04 00:00:00,OMG/USD,2.905,3.0019,2.6309,2.7695,1002842.1612877611,362102.24274698
1604361600000,2020-11-03 00:00:00,OMG/USD,2.9977,2.9977,2.8099,2.9038,379534.5242418744,130702.70825879
1604275200000,2020-11-02 00:00:00,OMG/USD,3.1336,3.1835,2.9562,3.0005,489560.8929556817,163159.77102339
1604188800000,2020-11-01 00:00:00,OMG/USD,2.9235,3.198,2.8844,3.1317,1485989.2849964364,474499.24481797
1604102400000,2020-10-31 00:00:00,OMG/USD,2.8738,3.0095,2.86,2.9222,403435.27753995784,138058.74941481
1604016000000,2020-10-30 00:00:00,OMG/USD,2.8793,2.9296,2.7609,2.8786,964341.8030798336,335003.75289371
1603929600000,2020-10-29 00:00:00,OMG/USD,3.072,3.1386,2.8508,2.885,509306.74668823415,176536.13403405
1603843200000,2020-10-28 00:00:00,OMG/USD,3.2186,3.2531,2.9787,3.0661,1014025.9050492261,330721.73283625
1603756800000,2020-10-27 00:00:00,OMG/USD,3.2345,3.3145,3.1538,3.2184,597737.3811201772,185725.01277659
1603670400000,2020-10-26 00:00:00,OMG/USD,3.3555,3.4164,3.0831,3.239,1722551.7927523397,531815.92860523
1603584000000,2020-10-25 00:00:00,OMG/USD,3.4872,3.489,3.2902,3.3531,423693.67210288835,126358.79398254999
1603497600000,2020-10-24 00:00:00,OMG/USD,3.5319,3.5776,3.4237,3.4898,336193.40117566846,96336.00813103
