https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XVG
1605916800000,2020-11-21 00:00:00,XVG/USD,0.0044397,0.005168,0.0041875,0.0049206,4953.893757858483,1006766.19880878
1605830400000,2020-11-20 00:00:00,XVG/USD,0.0044003,0.0045451,0.0042011,0.0042011,152.56761036927176,36316.11015431
1605744000000,2020-11-19 00:00:00,XVG/USD,0.0042506,0.0044113,0.0042503,0.0044046,1622.5232104334852,368370.16083946
1605657600000,2020-11-18 00:00:00,XVG/USD,0.0044003,0.0045146,0.0041586,0.00425,838.6625013572525,197332.35326052998
1605571200000,2020-11-17 00:00:00,XVG/USD,0.0046084,0.0046285,0.0043927,0.0044003,660.9779968095338,150212.03027283
1605484800000,2020-11-16 00:00:00,XVG/USD,0.0042464,0.0048063,0.0042464,0.0043704,2377.0496297479067,543897.49902707
1605398400000,2020-11-15 00:00:00,XVG/USD,0.0041603,0.0043647,0.0041221,0.0042026,1632.802373116832,388521.95619779
1605312000000,2020-11-14 00:00:00,XVG/USD,0.0044603,0.0046173,0.0041241,0.0042,186.557282681952,44418.40063856
1605225600000,2020-11-13 00:00:00,XVG/USD,0.00432,0.0046267,0.0042845,0.0044603,481.47429210041946,107946.61616941
1605139200000,2020-11-12 00:00:00,XVG/USD,0.0044489,0.0045186,0.0042237,0.004395,818.1071129363966,186144.96312546
1605052800000,2020-11-11 00:00:00,XVG/USD,0.0042575,0.0046928,0.0041101,0.0044246,3028.3790083774074,684441.3073221099
1604966400000,2020-11-10 00:00:00,XVG/USD,0.0041367,0.0046,0.0041367,0.0046,272.53396599459,59246.51434665
1604880000000,2020-11-09 00:00:00,XVG/USD,0.0043393,0.004344,0.0041904,0.0042989,161.34217292759686,37531.03652739
1604793600000,2020-11-08 00:00:00,XVG/USD,0.0040369,0.0043789,0.0036869,0.0042062,512.8960575294085,121938.10506619001
1604707200000,2020-11-07 00:00:00,XVG/USD,0.0043,0.00443,0.0039703,0.004106,1171.960286912172,285426.27542917
1604620800000,2020-11-06 00:00:00,XVG/USD,0.0039989,0.0046221,0.0039275,0.0042003,1676.2601673561976,399081.05786639
1604534400000,2020-11-05 00:00:00,XVG/USD,0.003655,0.0039169,0.0035753,0.0039169,133.61980877611188,34113.66355437
1604448000000,2020-11-04 00:00:00,XVG/USD,0.00401,0.00401,0.0036203,0.0038322,259.57762231979444,67735.92774902
1604361600000,2020-11-03 00:00:00,XVG/USD,0.0042969,0.0042969,0.0042865,0.0042865,84.70139564671572,19760.03631091
1604275200000,2020-11-02 00:00:00,XVG/USD,0.0041082,0.0041596,0.004,0.004,625.9974255480399,156499.35638701
1604188800000,2020-11-01 00:00:00,XVG/USD,0.0036243,0.0045469,0.0036243,0.0039303,3291.6045593434337,837494.48117025
1604102400000,2020-10-31 00:00:00,XVG/USD,0.0036203,0.004,0.0035516,0.004,1291.22810396224,322807.02599056
1604016000000,2020-10-30 00:00:00,XVG/USD,0.0037411,0.0037565,0.0035655,0.0035738,627.5956795122025,175610.18510051
1603929600000,2020-10-29 00:00:00,XVG/USD,0.003997,0.0040011,0.0037413,0.0037413,544.7959550721558,145616.75221772
1603843200000,2020-10-28 00:00:00,XVG/USD,0.0041731,0.0041731,0.003692,0.003934,3641.821717281647,925729.97388959
1603756800000,2020-10-27 00:00:00,XVG/USD,0.0043231,0.0043312,0.0041765,0.0042188,2020.6136766918585,478954.60242055997
1603670400000,2020-10-26 00:00:00,XVG/USD,0.00458,0.00458,0.00419,0.0044783,2659.766585106181,593923.27113105
1603584000000,2020-10-25 00:00:00,XVG/USD,0.0047126,0.0047126,0.0044303,0.0044303,243.05511299066427,54861.99873387
1603497600000,2020-10-24 00:00:00,XVG/USD,0.0046489,0.0047763,0.0044306,0.0047127,991.9468278804162,210483.76257356
1603411200000,2020-10-23 00:00:00,XVG/USD,0.0046223,0.0046749,0.0044309,0.0044403,464.31298841706194,104567.93199042
1603324800000,2020-10-22 00:00:00,XVG/USD,0.0044391,0.0048014,0.0044391,0.0048014,1540.9661502748975,320941.00684693997
1603238400000,2020-10-21 00:00:00,XVG/USD,0.0043,0.004672,0.0043,0.004672,1472.113795155242,315092.84999042
