https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETP
1606262400000,2020-11-25 00:00:00,ETP/USD,0.1615,0.16199,0.153,0.1555,31698.7480356754,203850.4696828
1606176000000,2020-11-24 00:00:00,ETP/USD,0.13838,0.1659,0.13601,0.1639,81419.29060964346,496761.9927373
1606089600000,2020-11-23 00:00:00,ETP/USD,0.136,0.1444,0.135,0.14057,35893.60027675077,255343.24732696
1606003200000,2020-11-22 00:00:00,ETP/USD,0.13,0.1382,0.12769,0.136,19882.56026284896,146195.29605036
1605916800000,2020-11-21 00:00:00,ETP/USD,0.1253,0.13499,0.11684,0.13,34834.8346749104,267960.26673008
1605830400000,2020-11-20 00:00:00,ETP/USD,0.12217,0.1255,0.1211,0.1255,3546.6146588373304,28259.87775966
1605744000000,2020-11-19 00:00:00,ETP/USD,0.12383,0.12508,0.12025,0.12299,5306.059931009964,43142.20612253
1605657600000,2020-11-18 00:00:00,ETP/USD,0.12136,0.12599,0.12,0.12259,12984.461547731651,105917.78732141
1605571200000,2020-11-17 00:00:00,ETP/USD,0.12383,0.13198,0.11999,0.12016,22190.831936603234,184677.36298771
1605484800000,2020-11-16 00:00:00,ETP/USD,0.129,0.129,0.1212,0.1217,6747.203649062032,55441.27895696
1605398400000,2020-11-15 00:00:00,ETP/USD,0.12951,0.13423,0.12333,0.12897,6630.35768468845,51410.07741869
1605312000000,2020-11-14 00:00:00,ETP/USD,0.1277,0.1355,0.1271,0.12951,1099.2711116655116,8487.92457467
1605225600000,2020-11-13 00:00:00,ETP/USD,0.1356,0.1395,0.1265,0.12895,6971.805601939829,54065.96046483
1605139200000,2020-11-12 00:00:00,ETP/USD,0.13699,0.13856,0.13085,0.13558,3520.6741566733062,25967.50373708
1605052800000,2020-11-11 00:00:00,ETP/USD,0.13291,0.148,0.13122,0.13836,15123.825118496965,109307.78489807
1604966400000,2020-11-10 00:00:00,ETP/USD,0.13606,0.1384,0.12701,0.1355,14128.004103230436,104265.71293897
1604880000000,2020-11-09 00:00:00,ETP/USD,0.14,0.14006,0.12571,0.13606,10100.418404202313,74235.03163458999
1604793600000,2020-11-08 00:00:00,ETP/USD,0.142,0.14756,0.13,0.14118,14900.004040643335,105539.05681147
1604707200000,2020-11-07 00:00:00,ETP/USD,0.145,0.15041,0.13823,0.142,15719.06113225222,110697.61360741
1604620800000,2020-11-06 00:00:00,ETP/USD,0.14948,0.15577,0.141,0.14162,20982.368767710293,148159.64389006
1604534400000,2020-11-05 00:00:00,ETP/USD,0.15462,0.16136,0.13783,0.1499,13321.010933086705,88865.98354294
1604448000000,2020-11-04 00:00:00,ETP/USD,0.15009,0.169,0.15004,0.15785,9705.16796621734,61483.48410654
1604361600000,2020-11-03 00:00:00,ETP/USD,0.15133,0.155,0.14554,0.15008,5676.639754761605,37824.092182579996
1604275200000,2020-11-02 00:00:00,ETP/USD,0.158,0.1631,0.1485,0.1506,10414.423706824135,69152.87985939
1604188800000,2020-11-01 00:00:00,ETP/USD,0.15535,0.16229,0.148,0.16023,6244.625304792057,38972.88463329
1604102400000,2020-10-31 00:00:00,ETP/USD,0.16,0.164,0.15521,0.15535,1798.572282847756,11577.54929416
1604016000000,2020-10-30 00:00:00,ETP/USD,0.1605,0.16595,0.15521,0.156,6572.84185414116,42133.60162911
1603929600000,2020-10-29 00:00:00,ETP/USD,0.16094,0.166,0.1605,0.1605,7145.785123949596,44522.02569439
1603843200000,2020-10-28 00:00:00,ETP/USD,0.17059,0.1783,0.1605,0.1605,8800.00398780273,54828.68528226
1603756800000,2020-10-27 00:00:00,ETP/USD,0.175,0.18234,0.17,0.17,6461.059551103501,38006.23265355
1603670400000,2020-10-26 00:00:00,ETP/USD,0.17822,0.18556,0.175,0.175,7193.51869750325,41105.82112859
1603584000000,2020-10-25 00:00:00,ETP/USD,0.1849,0.18898,0.175,0.17822,2891.8111558525306,16226.07538914
1603497600000,2020-10-24 00:00:00,ETP/USD,0.1905,0.1905,0.1752,0.1849,9374.449195935258,50700.10381793
1603411200000,2020-10-23 00:00:00,ETP/USD,0.1946,0.19559,0.1866,0.1866,2175.3150390761757,11657.63686536
1603324800000,2020-10-22 00:00:00,ETP/USD,0.20617,0.20945,0.18926,0.18961,11894.649325041028,62732.18356121
1603238400000,2020-10-21 00:00:00,ETP/USD,0.19302,0.2169,0.18529,0.20156,40130.05276919206,199097.30486799
1603152000000,2020-10-20 00:00:00,ETP/USD,0.191,0.204,0.18347,0.19495,22086.05146574052,113290.85132465
1603065600000,2020-10-19 00:00:00,ETP/USD,0.17289,0.205,0.16457,0.19,56200.6389180501,295792.83641079
1602979200000,2020-10-18 00:00:00,ETP/USD,0.15496,0.18305,0.146,0.17418,33313.07171673153,191256.58351551
