https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REP
1609977600000,2021-01-07 00:00:00,REP/USD,18.815,21.381,18.479,19.526,6597.83028282118,337.89973793
1609891200000,2021-01-06 00:00:00,REP/USD,17.819,20.035,17.517,18.5,3262.3882377749997,176.34531015
1609804800000,2021-01-05 00:00:00,REP/USD,16.999,17.115,16.329,17.115,583.50755534715,34.09334241
1609718400000,2021-01-04 00:00:00,REP/USD,17.014,18.355,15.861,16.281,3104.19766888695,190.66382095
1609632000000,2021-01-03 00:00:00,REP/USD,16.316,17.973,16.15,17.38,1381.965830993,79.51471985
1609545600000,2021-01-02 00:00:00,REP/USD,16.989,16.989,16.411,16.541,136.04977148020998,8.22500281
1609459200000,2021-01-01 00:00:00,REP/USD,16.613,16.779,16.536,16.631,1351.24066922174,81.24831154
1609372800000,2020-12-31 00:00:00,REP/USD,16.156,17.344,15.93,17.344,560.1917424601601,32.29887814
1609286400000,2020-12-30 00:00:00,REP/USD,17.02,17.02,16.528,16.587,30.44891480346,1.83570958
1609200000000,2020-12-29 00:00:00,REP/USD,16.505,18.18,16.236,17.348,2852.88338041488,164.45027556
1609113600000,2020-12-28 00:00:00,REP/USD,17.023,17.023,16.126,16.126,933.6052656581201,57.89441062
1609027200000,2020-12-27 00:00:00,REP/USD,16.535,16.936,15.618,15.618,232.1289525879,14.86291155
1608940800000,2020-12-26 00:00:00,REP/USD,16.038,16.038,15.87,15.87,22.18626,1.3980000000000001
1608854400000,2020-12-25 00:00:00,REP/USD,15.859,16.971,15.859,16.299,109.57567200668998,6.7228463099999995
1608768000000,2020-12-24 00:00:00,REP/USD,14.259,15.761,13.876,15.456,1593.66431423808,103.10975118
1608681600000,2020-12-23 00:00:00,REP/USD,16.906,16.906,13.93,14.259,963.9243469804201,67.60111838
1608595200000,2020-12-22 00:00:00,REP/USD,16.71,17.132,16.71,17.001,16.465427697600003,0.9684976000000001
1608508800000,2020-12-21 00:00:00,REP/USD,17.222,19.648,16.821,16.821,2163.72930387957,128.63262017
1608422400000,2020-12-20 00:00:00,REP/USD,19.007,20.505,17.365,17.365,1310.7963750280499,75.48496257
1608336000000,2020-12-19 00:00:00,REP/USD,20.46,22.494,18.827,19.942,3861.89291815626,193.65624903
1608249600000,2020-12-18 00:00:00,REP/USD,15.83,34.0,15.83,19.69,22051.0383782304,1119.91053216
1608163200000,2020-12-17 00:00:00,REP/USD,15.962,15.962,15.375,15.83,239.43842038870002,15.12561089
1608076800000,2020-12-16 00:00:00,REP/USD,15.761,15.972,15.757,15.972,213.36151095072,13.35847176
1607990400000,2020-12-15 00:00:00,REP/USD,15.965,15.965,15.757,15.757,40.28782944242,2.55682106
1607731200000,2020-12-12 00:00:00,REP/USD,15.251,16.0,14.289,15.376,239.37073097424,15.56781549
1607644800000,2020-12-11 00:00:00,REP/USD,14.199,14.251,14.118,14.251,207.61518958463998,14.568464639999998
1607558400000,2020-12-10 00:00:00,REP/USD,15.826,15.826,15.303,15.303,27.716364656910006,1.8111719700000002
1607472000000,2020-12-09 00:00:00,REP/USD,14.283,17.213,14.283,14.492,1728.62960267316,119.28164523
1607385600000,2020-12-08 00:00:00,REP/USD,16.337,16.55,15.861,15.861,213.83799581421,13.481999609999999
1607299200000,2020-12-07 00:00:00,REP/USD,16.695,17.055,15.953,16.334,17047.92178479536,1043.70771304
1607212800000,2020-12-06 00:00:00,REP/USD,17.054,18.0,16.736,17.686,404.29186571549997,22.859429249999998
1607126400000,2020-12-05 00:00:00,REP/USD,14.6,17.138,14.6,16.902,210.50242682004,12.45429102
1607040000000,2020-12-04 00:00:00,REP/USD,15.712,15.734,14.844,14.844,426.9878277372,28.7650113
1606953600000,2020-12-03 00:00:00,REP/USD,15.715,16.288,15.715,16.106,106.88235035214002,6.63618219
1606867200000,2020-12-02 00:00:00,REP/USD,15.181,15.321,15.158,15.158,152.33916963407998,10.05008376
1606780800000,2020-12-01 00:00:00,REP/USD,15.528,15.528,14.469,14.469,88.50368258549999,6.1167795
1606694400000,2020-11-30 00:00:00,REP/USD,15.379,15.477,14.973,14.973,696.5588121678901,46.52099193
1606608000000,2020-11-29 00:00:00,REP/USD,14.705,15.169,14.692,14.692,23.78456468504,1.6188786199999998
1606521600000,2020-11-28 00:00:00,REP/USD,15.207,15.336,14.736,14.787,564.5530375793101,38.17901113
1606435200000,2020-11-27 00:00:00,REP/USD,14.583,14.583,14.332,14.375,19.2030573625,1.33586486
1606348800000,2020-11-26 00:00:00,REP/USD,16.5,16.5,14.583,14.583,8333.5846020456,571.4588632
1606262400000,2020-11-25 00:00:00,REP/USD,16.523,16.861,16.5,16.5,8285.135629155,502.12943207
1606176000000,2020-11-24 00:00:00,REP/USD,15.739,17.945,15.452,16.853,8877.11727884616,526.73810472
1606089600000,2020-11-23 00:00:00,REP/USD,15.75,15.936,14.583,15.137,2001.3087154874702,132.21303531
1606003200000,2020-11-22 00:00:00,REP/USD,16.0,16.0,14.4,15.558,1393.40346502074,89.56186303
1605916800000,2020-11-21 00:00:00,REP/USD,15.181,16.0,14.5,14.609,172.76564014136002,11.825973040000001
1605830400000,2020-11-20 00:00:00,REP/USD,14.336,14.336,14.336,14.336,59.168897536,4.12729475
1605744000000,2020-11-19 00:00:00,REP/USD,14.08,14.167,13.934,14.0,39.42896118,2.81635437
1605657600000,2020-11-18 00:00:00,REP/USD,14.672,14.672,13.921,13.921,38.291119165990004,2.7506011900000003
1605571200000,2020-11-17 00:00:00,REP/USD,14.083,16.0,13.366,14.672,448.57966599712,30.573859459999998
1605484800000,2020-11-16 00:00:00,REP/USD,13.9,13.9,13.9,13.9,166.6332,11.988
1605312000000,2020-11-14 00:00:00,REP/USD,13.9,13.9,13.9,13.9,5.0826323,0.365657
1605225600000,2020-11-13 00:00:00,REP/USD,14.061,14.175,14.061,14.175,744.3709667415001,52.51294298
1605139200000,2020-11-12 00:00:00,REP/USD,14.299,15.67,13.236,13.782,137.66314223429998,9.98861865
