https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETC
1611705600000,2021-01-27 00:00:00,ETC/USD,7.4621,7.4621,6.6783,6.894,132578.15810455766,19230.94837606
1611619200000,2021-01-26 00:00:00,ETC/USD,7.4745,7.6149,7.1,7.4042,136817.2323343019,18478.32748093
1611532800000,2021-01-25 00:00:00,ETC/USD,7.6694,8.0,7.4,7.4834,289647.280545965,38705.30514819
1611446400000,2021-01-24 00:00:00,ETC/USD,7.42,7.8241,7.4003,7.6694,208146.584463402,27139.87853853
1611360000000,2021-01-23 00:00:00,ETC/USD,7.46,7.6114,7.255,7.4289,162966.6967989508,21936.85428515
1611273600000,2021-01-22 00:00:00,ETC/USD,7.1472,7.5339,6.66,7.4733,607982.0097653912,81353.88780932
1611187200000,2021-01-21 00:00:00,ETC/USD,7.9269,8.1992,7.0623,7.1349,400394.93155922624,56117.80565379
1611100800000,2021-01-20 00:00:00,ETC/USD,7.8045,8.0513,7.3805,7.9034,361773.90761225764,45774.46511783
1611014400000,2021-01-19 00:00:00,ETC/USD,7.7377,8.48,7.6998,7.8175,504425.9153549636,64525.22102398
1610928000000,2021-01-18 00:00:00,ETC/USD,7.6811,7.9,7.4404,7.708,203517.81515299136,26403.45292592
1610841600000,2021-01-17 00:00:00,ETC/USD,7.7956,7.978,7.3514,7.6742,385171.67852332967,50190.46656633
1610755200000,2021-01-16 00:00:00,ETC/USD,7.5739,8.1869,7.4003,7.8108,433143.3208516398,55454.41194905
1610668800000,2021-01-15 00:00:00,ETC/USD,7.8016,8.0327,7.1425,7.5704,491035.5144518249,64862.55870916
1610582400000,2021-01-14 00:00:00,ETC/USD,7.595,8.1394,7.3392,7.8016,544256.2481892233,69762.13189464
1610496000000,2021-01-13 00:00:00,ETC/USD,7.073,7.666,6.8773,7.598,474958.2630082704,62510.95854281
1610409600000,2021-01-12 00:00:00,ETC/USD,7.218,7.6772,6.8105,7.073,515865.81966533116,72934.51430303
1610323200000,2021-01-11 00:00:00,ETC/USD,8.8645,8.8749,6.2695,7.23,3165422.3353004684,437817.75038734
1610236800000,2021-01-10 00:00:00,ETC/USD,7.7865,9.5,7.7641,8.8697,6306930.85255179,711064.73190207
1610150400000,2021-01-09 00:00:00,ETC/USD,6.9433,8.011,6.731,7.7711,2030280.637446053,261260.39266591
1610064000000,2021-01-08 00:00:00,ETC/USD,7.2324,7.3296,6.6683,6.9645,767401.9705710686,110187.66179497
1609977600000,2021-01-07 00:00:00,ETC/USD,7.6073,7.7476,6.9715,7.2327,974583.4668224389,134746.83960657
1609891200000,2021-01-06 00:00:00,ETC/USD,7.2607,7.77,6.989,7.5883,1043189.6406008913,137473.43154605
1609804800000,2021-01-05 00:00:00,ETC/USD,7.0312,7.379,6.6422,7.2424,893318.7735391079,123345.68285915
1609718400000,2021-01-04 00:00:00,ETC/USD,6.5501,7.566,6.225,7.0318,2783991.3816834963,395914.47164076
1609632000000,2021-01-03 00:00:00,ETC/USD,5.7731,6.6658,5.7684,6.5501,1440410.5824705593,219906.65523741
1609545600000,2021-01-02 00:00:00,ETC/USD,5.6793,5.9442,5.5687,5.7703,242167.61803602867,41967.94240092
1609459200000,2021-01-01 00:00:00,ETC/USD,5.6635,5.8667,5.61,5.685,272468.193450357,47927.5626122
1609372800000,2020-12-31 00:00:00,ETC/USD,5.6793,5.8062,5.5492,5.6614,203950.95986115863,36024.82775659
1609286400000,2020-12-30 00:00:00,ETC/USD,5.7059,5.8,5.6162,5.6757,259761.64210662016,45767.33127308
1609200000000,2020-12-29 00:00:00,ETC/USD,5.8811,5.9991,5.4553,5.702,406994.7936055326,71377.55061479
1609113600000,2020-12-28 00:00:00,ETC/USD,5.8211,6.1555,5.7597,5.9042,170349.6794528626,28852.28810895
1609027200000,2020-12-27 00:00:00,ETC/USD,5.8242,6.0841,5.4504,5.7915,573398.1223386981,99006.84146399
1608940800000,2020-12-26 00:00:00,ETC/USD,5.7637,5.86,5.574,5.8227,225884.46249192677,38793.76620673
1608854400000,2020-12-25 00:00:00,ETC/USD,5.6044,5.874,5.4928,5.7606,529287.3902954342,91880.60103035
1608768000000,2020-12-24 00:00:00,ETC/USD,5.0928,5.6308,5.0141,5.6072,583283.1374761893,104023.95803185
1608681600000,2020-12-23 00:00:00,ETC/USD,6.1331,6.1629,4.7345,5.0993,1446014.7443579389,283571.22435588
1608595200000,2020-12-22 00:00:00,ETC/USD,6.12,6.1968,5.753,6.1331,720717.189300669,117512.70797813
1608508800000,2020-12-21 00:00:00,ETC/USD,6.4461,6.945,6.038,6.1313,2043066.1661705323,333219.08341959
1608422400000,2020-12-20 00:00:00,ETC/USD,6.4025,6.8284,6.2277,6.472,555912.3695441253,85894.98911374
1608336000000,2020-12-19 00:00:00,ETC/USD,6.3932,6.535,6.352,6.4079,534827.8684432068,83463.8287806
1608249600000,2020-12-18 00:00:00,ETC/USD,6.4629,6.6,6.286,6.3896,576303.5456827387,90193.99425359
1608163200000,2020-12-17 00:00:00,ETC/USD,6.4443,6.8074,6.2727,6.4617,1746316.6380018373,270256.53280125
1608076800000,2020-12-16 00:00:00,ETC/USD,6.0722,6.4443,5.9663,6.4443,373837.195750506,58010.52026605
1607990400000,2020-12-15 00:00:00,ETC/USD,6.0467,6.1373,5.95,6.0753,228562.00260348796,37621.51706146
1607904000000,2020-12-14 00:00:00,ETC/USD,6.1188,6.1489,5.9504,6.0468,80707.79947595173,13347.19181649
1607817600000,2020-12-13 00:00:00,ETC/USD,5.9782,6.2898,5.91,6.1195,321177.3278420878,52484.24345814
1607731200000,2020-12-12 00:00:00,ETC/USD,5.8139,6.0421,5.8014,5.9559,115572.20979092356,19404.65921035
1607644800000,2020-12-11 00:00:00,ETC/USD,5.9288,5.9694,5.7102,5.7994,110337.43681220345,19025.66417426
1607558400000,2020-12-10 00:00:00,ETC/USD,6.0809,6.1178,5.8103,5.9004,166580.59855325805,28232.08571508
