https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XMR
1600905600000,2020-09-24 00:00:00,XMR/USD,86.943,92.249,86.932,91.783,163285.83202686152,1779.04221944
1600819200000,2020-09-23 00:00:00,XMR/USD,92.788,94.168,86.537,87.266,176767.10783126543,2025.61258487
1600732800000,2020-09-22 00:00:00,XMR/USD,89.17,97.168,87.353,92.753,507415.0636512369,5470.60541062
1600646400000,2020-09-21 00:00:00,XMR/USD,92.699,94.559,85.997,89.47,369602.1184733946,4131.01730718
1600560000000,2020-09-20 00:00:00,XMR/USD,94.796,94.796,90.833,92.952,255348.07899984575,2747.09612488
1600473600000,2020-09-19 00:00:00,XMR/USD,92.577,95.555,91.764,94.564,162510.49713496282,1718.52393231
1600387200000,2020-09-18 00:00:00,XMR/USD,93.011,95.35,91.391,91.939,113991.3391483189,1239.8583751
1600300800000,2020-09-17 00:00:00,XMR/USD,88.369,94.154,87.505,92.635,1142643.40282777,12334.89936663
1600214400000,2020-09-16 00:00:00,XMR/USD,91.241,92.775,87.183,88.419,206540.95748675623,2335.93410338
1600128000000,2020-09-15 00:00:00,XMR/USD,92.049,93.0,88.229,91.05,234442.55715885453,2574.8770692900002
1600041600000,2020-09-14 00:00:00,XMR/USD,86.048,92.497,84.415,91.766,467763.56090483273,5097.35153439
1599955200000,2020-09-13 00:00:00,XMR/USD,86.678,90.278,85.362,85.779,336621.9284106547,3924.29299025
1599868800000,2020-09-12 00:00:00,XMR/USD,84.249,87.228,83.144,86.808,255108.4347849125,2938.76641306
1599782400000,2020-09-11 00:00:00,XMR/USD,86.065,86.065,83.197,84.237,201380.70602524187,2390.64432524
1599696000000,2020-09-10 00:00:00,XMR/USD,84.484,86.732,84.003,85.796,130228.01123948429,1517.87975243
1599609600000,2020-09-09 00:00:00,XMR/USD,84.314,85.974,82.5,84.543,87630.69429682338,1036.52217566
1599523200000,2020-09-08 00:00:00,XMR/USD,83.159,85.232,78.961,84.125,327349.19922810124,3891.22376497
1599436800000,2020-09-07 00:00:00,XMR/USD,80.162,83.22,77.04,82.789,198383.7660519599,2396.25754692
1599350400000,2020-09-06 00:00:00,XMR/USD,77.927,81.282,75.536,80.541,156952.52677302324,1948.7283094699999
1599264000000,2020-09-05 00:00:00,XMR/USD,82.409,83.738,74.276,77.999,368832.73434991646,4728.68542353
1599177600000,2020-09-04 00:00:00,XMR/USD,77.379,83.672,76.429,82.329,413871.82812499756,5027.04791902
1599091200000,2020-09-03 00:00:00,XMR/USD,91.0,91.482,75.928,77.53999999999999,865614.7694434783,11400.4684628
1599004800000,2020-09-02 00:00:00,XMR/USD,97.19,97.19100000000002,88.306,91.22600000000001,411293.86855219427,4657.59822155
1598918400000,2020-09-01 00:00:00,XMR/USD,93.221,97.80699999999999,91.631,97.168,569275.4646091386,6212.69509892
1598832000000,2020-08-31 00:00:00,XMR/USD,96.414,96.7,93.223,93.36900000000001,295924.26231264026,3174.36965462
1598745600000,2020-08-30 00:00:00,XMR/USD,92.836,96.92399999999999,92.836,96.294,357020.8117164598,3845.71515055
1598659200000,2020-08-29 00:00:00,XMR/USD,94.686,95.825,92.653,92.836,153997.5356896997,1662.08903856
1598572800000,2020-08-28 00:00:00,XMR/USD,89.832,95.54699999999998,88.992,94.43600000000002,295240.8051573725,3317.6106296899998
1598486400000,2020-08-27 00:00:00,XMR/USD,88.993,90.837,85.98,89.634,214083.1580419656,2489.91809772
1598400000000,2020-08-26 00:00:00,XMR/USD,88.685,89.78800000000001,87.202,89.118,214816.64578574296,2463.43714348
1598313600000,2020-08-25 00:00:00,XMR/USD,93.83,93.919,85.98,88.68499999999999,438263.11565393285,5097.26815136
1598227200000,2020-08-24 00:00:00,XMR/USD,91.324,94.35299999999998,90.4,93.80699999999999,153003.881661536,1692.52081484
1598140800000,2020-08-23 00:00:00,XMR/USD,94.719,94.87099999999998,90.68,91.50999999999999,124322.402907672,1371.0013554
1598054400000,2020-08-22 00:00:00,XMR/USD,92.126,95,88.624,94.881,285194.9022238347,3218.03238653
1597968000000,2020-08-21 00:00:00,XMR/USD,101.68,105.99,92.127,92.188,1430552.9150746288,15528.05274322
1597881600000,2020-08-20 00:00:00,XMR/USD,91.987,101.58,91.508,101.43999999999998,570260.9695986724,6231.8154653
1597795200000,2020-08-19 00:00:00,XMR/USD,93.722,94.51200000000001,88.817,91.96300000000001,747684.8479709012,8418.26280972
1597708800000,2020-08-18 00:00:00,XMR/USD,94.187,97.22799999999998,91.465,93.618,652333.1662235087,7132.05232847
1597622400000,2020-08-17 00:00:00,XMR/USD,91.271,95.321,89.607,93.619,728698.5607280373,8132.16111161
