https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XLM
1606089600000,2020-11-23 00:00:00,XLM/USD,0.1041,0.13294,0.10135,0.13172,1223246.096657668,9286714.97614385
1606003200000,2020-11-22 00:00:00,XLM/USD,0.10886,0.11436,0.09624,0.10388,1079145.2528085683,10388383.25768741
1605916800000,2020-11-21 00:00:00,XLM/USD,0.088498,0.10958,0.088498,0.10898,842141.1831944701,7727483.78780024
1605830400000,2020-11-20 00:00:00,XLM/USD,0.084025,0.088699,0.083808,0.088468,117342.85848447318,1326387.60325172
1605744000000,2020-11-19 00:00:00,XLM/USD,0.083567,0.0862,0.081561,0.083969,111219.65207362972,1324532.2925559399
1605657600000,2020-11-18 00:00:00,XLM/USD,0.086626,0.08698,0.081876,0.083704,294612.5394559336,3519694.87068639
1605571200000,2020-11-17 00:00:00,XLM/USD,0.082411,0.088469,0.082395,0.08649,212549.39405490088,2457502.5327194
1605484800000,2020-11-16 00:00:00,XLM/USD,0.079777,0.082741,0.079455,0.082498,71808.23299998307,870423.92542829
1605398400000,2020-11-15 00:00:00,XLM/USD,0.080976,0.082606,0.078958,0.08009,93665.90546280354,1169508.12164819
1605312000000,2020-11-14 00:00:00,XLM/USD,0.082531,0.084361,0.080587,0.08098,58954.287106937765,728010.46069323
1605225600000,2020-11-13 00:00:00,XLM/USD,0.080496,0.082575,0.079991,0.082347,52235.59187708713,634335.09268203
1605139200000,2020-11-12 00:00:00,XLM/USD,0.080497,0.081047,0.079167,0.080639,109370.41113122509,1356296.71909653
1605052800000,2020-11-11 00:00:00,XLM/USD,0.079707,0.082148,0.079685,0.080559,173277.259106738,2150936.07302397
1604966400000,2020-11-10 00:00:00,XLM/USD,0.079735,0.082411,0.079235,0.079721,543916.8775212363,6822755.32822263
1604880000000,2020-11-09 00:00:00,XLM/USD,0.081673,0.082299,0.078246,0.079714,89468.40486752611,1122367.52474504
1604793600000,2020-11-08 00:00:00,XLM/USD,0.079619,0.082765,0.078958,0.081649,26691.771358643084,326908.73566906
1604707200000,2020-11-07 00:00:00,XLM/USD,0.083852,0.086194,0.078439,0.079627,293769.98712508514,3689326.32304476
1604620800000,2020-11-06 00:00:00,XLM/USD,0.080355,0.085186,0.080253,0.083817,189284.69515943105,2258309.11580504
1604534400000,2020-11-05 00:00:00,XLM/USD,0.074612,0.082501,0.07361,0.080225,145575.90607343643,1814595.27670223
1604448000000,2020-11-04 00:00:00,XLM/USD,0.07558,0.075658,0.072635,0.074529,40309.084794440365,540851.00825773
1604361600000,2020-11-03 00:00:00,XLM/USD,0.075512,0.076265,0.073288,0.075453,68041.030518468,901767.06716059
1604275200000,2020-11-02 00:00:00,XLM/USD,0.078794,0.079402,0.075436,0.075608,35413.76687373345,468386.50504885
1604188800000,2020-11-01 00:00:00,XLM/USD,0.077681,0.078586,0.076485,0.078529,9893.95917298538,125991.15196915
1604102400000,2020-10-31 00:00:00,XLM/USD,0.076801,0.079741,0.076588,0.077697,71021.30566514956,914080.41063554
1604016000000,2020-10-30 00:00:00,XLM/USD,0.077145,0.078564,0.074221,0.076851,47249.96653718105,614825.65662361
1603929600000,2020-10-29 00:00:00,XLM/USD,0.078274,0.078772,0.075491,0.077311,31870.47701406159,412237.28853671
1603843200000,2020-10-28 00:00:00,XLM/USD,0.08183,0.082155,0.077396,0.078357,109860.12882937359,1402046.13281996
1603756800000,2020-10-27 00:00:00,XLM/USD,0.081089,0.08313,0.081039,0.081942,82153.71703560068,1002583.74259355
1603670400000,2020-10-26 00:00:00,XLM/USD,0.08273,0.084447,0.079893,0.081241,231493.45056789077,2849465.79396968
1603584000000,2020-10-25 00:00:00,XLM/USD,0.0857,0.085822,0.08153,0.083076,141119.80479530804,1698683.19123824
1603497600000,2020-10-24 00:00:00,XLM/USD,0.083593,0.086239,0.083179,0.08566,104109.86995247567,1215384.89321125
1603411200000,2020-10-23 00:00:00,XLM/USD,0.085571,0.086481,0.083083,0.083803,99205.00871494912,1183788.27386787
1603324800000,2020-10-22 00:00:00,XLM/USD,0.083758,0.087676,0.083691,0.085697,114861.39969624017,1340319.9609816
1603238400000,2020-10-21 00:00:00,XLM/USD,0.0806,0.086357,0.080534,0.083764,126117.89881645037,1505633.67098575
1603152000000,2020-10-20 00:00:00,XLM/USD,0.085201,0.086701,0.080607,0.080915,99845.11822008491,1233950.66699728
1603065600000,2020-10-19 00:00:00,XLM/USD,0.079611,0.087339,0.079544,0.0852,336068.81019037537,3944469.60317342
1602979200000,2020-10-18 00:00:00,XLM/USD,0.081572,0.082156,0.079377,0.079607,33358.89207110295,419044.70801692
1602892800000,2020-10-17 00:00:00,XLM/USD,0.079265,0.0837,0.077778,0.081732,224662.8169734048,2748774.24966237
1602806400000,2020-10-16 00:00:00,XLM/USD,0.074077,0.079105,0.072326,0.079105,80094.45244940523,1012508.08987302
1602720000000,2020-10-15 00:00:00,XLM/USD,0.074059,0.074403,0.071956,0.07398,53465.29387783932,722699.29545606
1602633600000,2020-10-14 00:00:00,XLM/USD,0.076464,0.076858,0.073747,0.074158,102582.96058659561,1383302.68597583
1602547200000,2020-10-13 00:00:00,XLM/USD,0.077793,0.077794,0.075684,0.076406,43989.32830626262,575731.33400862
1602460800000,2020-10-12 00:00:00,XLM/USD,0.077371,0.079218,0.076179,0.077766,94124.85969795437,1210360.05063851
1602374400000,2020-10-11 00:00:00,XLM/USD,0.07746,0.078996,0.076986,0.07736058,33488.872212942566,432893.24114352
1602288000000,2020-10-10 00:00:00,XLM/USD,0.075153,0.078439,0.075153,0.077436,186603.61446143268,2409778.58439786
1602201600000,2020-10-09 00:00:00,XLM/USD,0.073337,0.07597,0.072672,0.075234,73314.50034489683,974486.27409013
1602115200000,2020-10-08 00:00:00,XLM/USD,0.072475,0.073532,0.069916,0.073176,113681.60969747981,1553536.81121515
1602028800000,2020-10-07 00:00:00,XLM/USD,0.072053,0.073227,0.070586,0.072314,64470.56901621401,891536.48002066
1601942400000,2020-10-06 00:00:00,XLM/USD,0.073444,0.075405,0.07188,0.072515,92591.85344803409,1276864.83414513
1601856000000,2020-10-05 00:00:00,XLM/USD,0.07288,0.074236,0.07251,0.073447,32658.177634215026,444649.57907355
1601769600000,2020-10-04 00:00:00,XLM/USD,0.071002,0.07349,0.070596,0.07295,80133.40484571185,1098470.25148337
1601683200000,2020-10-03 00:00:00,XLM/USD,0.071001,0.072272,0.070682,0.07107564,44839.95382241956,630876.53973175
1601596800000,2020-10-02 00:00:00,XLM/USD,0.072864,0.07395118,0.069041,0.071102,85527.44733565295,1202883.8476506
1601510400000,2020-10-01 00:00:00,XLM/USD,0.075318,0.076515,0.07182,0.073171,192092.99993007645,2625261.37308601
1601424000000,2020-09-30 00:00:00,XLM/USD,0.074141,0.075283,0.072313,0.075058,51911.62319829251,691620.12308205
1601337600000,2020-09-29 00:00:00,XLM/USD,0.0732,0.075229,0.072241,0.074129,53590.144997857664,722930.90420561
1601251200000,2020-09-28 00:00:00,XLM/USD,0.073836,0.076003,0.072701,0.0734098,70083.75876250946,954692.13596154
1601164800000,2020-09-27 00:00:00,XLM/USD,0.073885,0.074629,0.071494,0.07328,59645.36643867947,813937.86078984
1601078400000,2020-09-26 00:00:00,XLM/USD,0.075709,0.076515,0.072797,0.07396,133915.25801283054,1810644.3755115
1600992000000,2020-09-25 00:00:00,XLM/USD,0.070441,0.0755,0.06945,0.0742911,179463.70713546698,2415682.45907608
