https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1601683200000,2020-10-03 00:00:00,BTC/USD,10586.0,10616.0,10513.0,10558.58697865,8805551.130618405,833.97060122
1601596800000,2020-10-02 00:00:00,BTC/USD,10633.0,10686.0,10391.0,10586.0,39564282.47232112,3737.41568792
1601510400000,2020-10-01 00:00:00,BTC/USD,10797.0,10975.126364,10460.0,10634.0,60424017.6121153,5682.15324545
1601424000000,2020-09-30 00:00:00,BTC/USD,10857.0,10866.00570211,10684.0,10795.0,16240138.0301492,1504.4129717600001
1601337600000,2020-09-29 00:00:00,BTC/USD,10713.0,10889.0,10654.0,10856.0,19464988.77530616,1793.01665211
1601251200000,2020-09-28 00:00:00,BTC/USD,10804.0,10986.0,10656.20638633,10714.0,40645321.79177668,3793.66453162
1601164800000,2020-09-27 00:00:00,BTC/USD,10750.90937072,10824.0,10594.0,10803.0,18957331.396309018,1754.82101234
1601078400000,2020-09-26 00:00:00,BTC/USD,10708.0,10841.0,10675.0,10750.0,10106241.0671825,940.11544811
1600992000000,2020-09-25 00:00:00,BTC/USD,10752.0,10774.0,10580.0,10708.0,25181391.18078256,2351.64280732
1600905600000,2020-09-24 00:00:00,BTC/USD,10266.0,10842.0,10222.0,10754.0,34366795.217240945,3195.72207711
1600819200000,2020-09-23 00:00:00,BTC/USD,10549.621726,10555.0,10152.0,10263.0,31745131.82620329,3093.16299583
1600732800000,2020-09-22 00:00:00,BTC/USD,10435.0,10597.0,10377.0,10549.0,25452229.97329089,2412.76234461
1600646400000,2020-09-21 00:00:00,BTC/USD,10935.0,11000.0,10321.0,10435.0,62743280.54194185,6012.77245251
1600560000000,2020-09-20 00:00:00,BTC/USD,11098.0,11098.0,10779.0,10934.54183144,19889179.69292868,1818.9312364
1600473600000,2020-09-19 00:00:00,BTC/USD,10957.05507792,11185.0,10920.0,11098.0,27387980.443777658,2467.83027967
1600387200000,2020-09-18 00:00:00,BTC/USD,10959.0,11064.0,10825.0,10957.17348137,24716998.748856355,2255.78236859
1600300800000,2020-09-17 00:00:00,BTC/USD,10971.45422468,11069.17646505,10765.936272,10959.0,27570904.369548928,2515.82301027
1600214400000,2020-09-16 00:00:00,BTC/USD,10797.99361605,11104.97665904,10682.0,10971.25116264,52648119.01760177,4798.73427717
1600128000000,2020-09-15 00:00:00,BTC/USD,10689.93207785,10944.0,10645.0,10797.0,53879291.718202375,4990.20947654
1600041600000,2020-09-14 00:00:00,BTC/USD,10331.0,10773.0,10259.0,10690.0,39419487.4098398,3687.51051542
